지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2017-01-06 15:00,10.3,,1.2,360,46,1,1.52,,,10.4
155,2017-01-06 16:00,9.7,,1.4,20,46,1,1.05,,,9.1
155,2017-01-06 17:00,8.8,,1.3,50,49,.4,.28,,,6.9
155,2017-01-06 18:00,7.1,,.6,270,57,0,.05,,,5
155,2017-01-06 19:00,7.2,,1.2,360,58,,,,,4.1
155,2017-01-06 20:00,5.8,,.1,0,64,,,,,3.3
155,2017-01-06 21:00,6.5,,1,340,59,,,,,2.9
155,2017-01-06 22:00,5.6,,.5,340,61,,,,,2.5
155,2017-01-06 23:00,4.2,,.6,230,71,,,,,1.8
155,2017-01-07 00:00,4.1,,.7,20,73,,,,,1.5
155,2017-01-07 01:00,3,,.6,360,78,,,,,1.3
155,2017-01-07 02:00,3,,1.7,360,78,,,,,1.3
155,2017-01-07 03:00,2.7,,.6,110,80,,,,,1.1
155,2017-01-07 04:00,2.9,,1.3,340,76,,,,,1
155,2017-01-07 05:00,2.2,,.9,340,78,,,,,.9
155,2017-01-07 06:00,2,,1.3,20,82,,,,,.7
155,2017-01-07 07:00,1.8,,1.5,340,81,,,,,.7
155,2017-01-07 08:00,1.1,,1,320,82,0,.07,,,.7
155,2017-01-07 09:00,2.5,,1.3,20,80,.3,.34,,,1.3
155,2017-01-07 10:00,3.2,,2.5,50,77,.3,.65,,,4.2
155,2017-01-07 11:00,4.6,,3.7,20,71,.6,1.19,,,6.6
155,2017-01-07 12:00,6.3,,2.9,20,64,.5,1.28,,,8.1
155,2017-01-07 13:00,7.2,,3.9,20,61,.4,1.31,,,8.5
155,2017-01-07 14:00,8.4,,1,360,59,0,.95,,,9.3
155,2017-01-07 15:00,8.9,,1.8,20,57,0,.81,,,9
155,2017-01-07 16:00,9.1,,.5,90,58,0,.53,,,8.2
155,2017-01-07 17:00,8.2,,.6,20,62,0,.18,,,7.1
155,2017-01-07 18:00,7.7,,1.2,360,63,0,.05,,,6.2
155,2017-01-07 19:00,7.5,,.4,0,64,,,,,5.8
155,2017-01-07 20:00,7.8,,2.1,20,62,,,,,5.6
155,2017-01-07 21:00,7.5,,1.1,360,64,,,,,5.5
155,2017-01-07 22:00,7.9,,1.8,20,64,,,,,5.5
155,2017-01-07 23:00,7.3,,.8,250,64,,,,,5.5
155,2017-01-08 00:00,7.1,0,.6,70,66,,,,,5.4
155,2017-01-08 01:00,5.6,,1.7,70,83,,,,,5.2
155,2017-01-08 02:00,5.4,,1,270,91,,,,,5.2
155,2017-01-08 03:00,5.5,2.2,1.1,340,89,,,,,5.1
155,2017-01-08 04:00,5.9,,1.8,360,88,,,,,5.1
155,2017-01-08 05:00,5.8,,2,20,85,,,,,5.1
155,2017-01-08 06:00,5.6,.7,.9,360,88,,,,,5
155,2017-01-08 07:00,5.9,,1.5,320,86,,,,,5
155,2017-01-08 08:00,5.3,,.8,250,88,0,.06,,,5
155,2017-01-08 09:00,6,0,.7,250,86,0,.18,,,5.8
155,2017-01-08 10:00,8.2,,1.6,50,74,0,.51,,,7.7
155,2017-01-08 11:00,9,,1.8,20,71,.1,.83,,,10
155,2017-01-08 12:00,11,,3.7,50,65,.8,1.75,,,12.8
155,2017-01-08 13:00,11.3,,2.9,50,62,.3,1.69,,,13.3
155,2017-01-08 14:00,11.8,,1.4,20,62,0,1.18,,,13.2
155,2017-01-08 15:00,12,,1.4,50,59,.6,1.25,,,11.3
155,2017-01-08 16:00,11.8,,.8,180,61,.7,1,,,10.6
155,2017-01-08 17:00,10.7,,1,230,65,0,.3,,,8.9
155,2017-01-08 18:00,9.8,,.7,290,68,0,.06,,,6.8
155,2017-01-08 19:00,8.7,,.2,0,71,,,,,5.7
155,2017-01-08 20:00,8.2,,.5,290,76,,,,,5.8
155,2017-01-08 21:00,8.4,,.1,0,75,,,,,6.1
155,2017-01-08 22:00,7.7,,.2,0,79,,,,,5.7
155,2017-01-08 23:00,7.6,,.6,270,80,,,,,5.8
155,2017-01-09 00:00,7.4,,.4,0,82,,,,,5
155,2017-01-09 01:00,7.4,,.3,0,82,,,,,5.2
155,2017-01-09 02:00,8.4,,1.2,90,62,,,,,5.1
155,2017-01-09 03:00,8.3,,1.6,290,59,,,,,5
155,2017-01-09 04:00,8,,1.8,250,59,,,,,4.9
155,2017-01-09 05:00,7.6,,1.7,200,59,,,,,4
155,2017-01-09 06:00,7.5,,2.1,270,54,,,,,3.5
155,2017-01-09 07:00,6.6,,2.5,290,57,,,,,3.2
155,2017-01-09 08:00,6.1,,2.5,270,56,0,.06,,,3
155,2017-01-09 09:00,6.5,,2,250,55,.8,.41,,,4.3
155,2017-01-09 10:00,6.1,,2.2,250,57,.3,.37,,,4.5
155,2017-01-09 11:00,6.8,,2.3,290,53,.1,.56,,,6.1
155,2017-01-09 12:00,7.9,,2.4,340,47,.9,1.57,,,9.9
155,2017-01-09 13:00,9.7,,1.5,290,43,1,1.83,,,12.9
155,2017-01-09 14:00,10.5,,2.1,270,41,1,1.73,,,12.1
155,2017-01-09 15:00,10.2,,2.7,290,37,1,1.49,,,9.3
155,2017-01-09 16:00,10.1,,1.7,50,35,1,1.03,,,8.2
155,2017-01-09 17:00,8.9,,1.7,50,33,.6,.4,,,5.9
155,2017-01-09 18:00,7.8,,1.4,50,35,0,.07,,,4.3
155,2017-01-09 19:00,7,,1,360,37,,,,,3.4
155,2017-01-09 20:00,5.7,,1.4,270,46,,,,,2.6
155,2017-01-09 21:00,4.8,,1,270,49,,,,,1.7
155,2017-01-09 22:00,4,,.4,0,54,,,,,1.4
155,2017-01-09 23:00,2.9,,.6,250,59,,,,,1.2
155,2017-01-10 00:00,3,,.7,250,58,,,,,.9
155,2017-01-10 01:00,2.3,,1,20,59,,,,,.8
155,2017-01-10 02:00,2.5,,3.4,20,59,,,,,.8
155,2017-01-10 03:00,1.5,,1.4,340,63,,,,,.6
155,2017-01-10 04:00,1.7,,2.7,360,61,,,,,.5
155,2017-01-10 05:00,1.1,,1.7,200,59,,,,,.3
155,2017-01-10 06:00,.8,,2.1,270,62,,,,,.2
155,2017-01-10 07:00,.2,,3.8,340,62,,,,,.1
155,2017-01-10 08:00,.1,,3.6,340,60,.1,.07,,,.1
155,2017-01-10 09:00,.7,,2.6,20,56,1,.49,,,.5
155,2017-01-10 10:00,1.6,,2.9,20,53,1,1.12,,,1.4
155,2017-01-10 11:00,2.8,,2.6,20,47,1,1.64,,,6
155,2017-01-10 12:00,3.9,,2,50,43,1,1.98,,,8.5
155,2017-01-10 13:00,4.6,,1.8,360,41,1,2.13,,,10.2
155,2017-01-10 14:00,5.8,,3.7,20,35,1,2.02,,,9.4
155,2017-01-10 15:00,6.5,,1.7,50,31,1,1.71,,,6.7
155,2017-01-10 16:00,6.9,,2.1,290,24,1,1.17,,,5.9
155,2017-01-10 17:00,6,,2.2,290,27,.6,.46,,,3.7
155,2017-01-10 18:00,5.1,,1.9,270,32,0,.07,,,2.5
155,2017-01-10 19:00,3.9,,1.1,320,37,,,,,1.7
155,2017-01-10 20:00,2.9,,.9,290,42,,,,,1
155,2017-01-10 21:00,2.9,,1.1,320,40,,,,,.8
155,2017-01-10 22:00,2.5,,2,290,43,,,,,.7
155,2017-01-10 23:00,2,,2.1,290,43,,,,,.6
155,2017-01-11 00:00,.7,,2.6,340,50,,,,,.4
155,2017-01-11 01:00,0,,2.6,360,47,,,,,.2
155,2017-01-11 02:00,-.6,,3.6,340,48,,,,,-.1
155,2017-01-11 03:00,-1.3,,4.4,20,46,,,,,-.3
155,2017-01-11 04:00,-2,,3.3,20,45,,,,,-.5
155,2017-01-11 05:00,-2.5,,2.2,20,44,,,,,-.7
155,2017-01-11 06:00,-3,,2,50,47,,,,,-.9
155,2017-01-11 07:00,-3.3,,3.3,50,46,,,,,-1.1
155,2017-01-11 08:00,-3.7,,3,20,43,.2,.07,,,-1.4
155,2017-01-11 09:00,-3.3,,4.6,20,35,.8,.48,,,-1
155,2017-01-11 10:00,-2.8,,4.3,50,24,1,1.05,,,-.7
155,2017-01-11 11:00,-1.8,,4.4,50,18,1,1.59,,,-.3
155,2017-01-11 12:00,-.1,,3.1,50,19,1,2.01,,,3.3
155,2017-01-11 13:00,.9,,3.2,50,20,1,1.91,,,6
155,2017-01-11 14:00,1.8,,1.6,50,19,1,1.85,,,7.4
155,2017-01-11 15:00,3.4,,.9,110,20,1,1.71,,,4.4
155,2017-01-11 16:00,3,,1.4,70,24,1,1.18,,,3.5
155,2017-01-11 17:00,2,,.4,0,27,.6,.45,,,1.5
155,2017-01-11 18:00,2.1,,1.1,250,34,0,.08,,,.4
155,2017-01-11 19:00,1.5,,1,270,41,,,,,.2
155,2017-01-11 20:00,1.6,,2.3,250,44,,,,,.1
155,2017-01-11 21:00,1.3,,1.8,290,47,,,,,0
155,2017-01-11 22:00,.7,,1.1,250,49,,,,,-.1
155,2017-01-11 23:00,1.5,,1.8,290,37,,,,,.1
155,2017-01-12 00:00,1.8,,2.1,290,32,,,,,.1
155,2017-01-12 01:00,1,,1.6,20,42,,,,,.1
155,2017-01-12 02:00,.1,,1.4,20,46,,,,,-.1
155,2017-01-12 03:00,-1.1,,1.1,250,50,,,,,-.5
155,2017-01-12 04:00,-.1,,.5,20,44,,,,,-.7
155,2017-01-12 05:00,-.6,,.3,0,51,,,,,-.7
155,2017-01-12 06:00,.4,,2.5,230,44,,,,,-.7
155,2017-01-12 07:00,-.4,,1.8,250,50,,,,,-.9
155,2017-01-12 08:00,0,,2.1,250,51,0,.07,,,-.8
155,2017-01-12 09:00,1.1,,2.3,250,53,0,.33,,,-.5
155,2017-01-12 10:00,3.2,,2.3,230,50,.6,.78,,,.3
155,2017-01-12 11:00,5,,2.8,230,47,.9,1.35,,,4.9
155,2017-01-12 12:00,6.7,,2.2,200,45,1,1.79,,,9
155,2017-01-12 13:00,6.8,,1.2,290,43,.7,1.41,,,9.2
155,2017-01-12 14:00,6.2,,1.6,320,45,.4,.96,,,8.1
155,2017-01-12 15:00,7.4,,1.2,230,40,.8,1.25,,,8
155,2017-01-12 16:00,7.2,,1.6,270,34,.6,.69,,,6.6
155,2017-01-12 17:00,6.2,,2.8,270,39,.5,.38,,,4.2
155,2017-01-12 18:00,5.8,,1.9,290,35,0,.07,,,2.5
155,2017-01-12 19:00,5.2,,2.3,270,36,,,,,1.9
155,2017-01-12 20:00,5,,2.9,270,38,,,,,1.4
155,2017-01-12 21:00,4.4,,3.1,270,42,,,,,.9
155,2017-01-12 22:00,3.8,,1.4,290,44,,,,,.3
155,2017-01-12 23:00,3,,2.3,290,46,,,,,.5
155,2017-01-13 00:00,2.2,,2.1,290,44,,,,,.3
155,2017-01-13 01:00,1.3,,1.7,290,38,,,,,0
155,2017-01-13 02:00,.9,,3,320,29,,,,,-.3
155,2017-01-13 03:00,.1,,1.9,340,34,,,,,-.7
155,2017-01-13 04:00,-.8,,1.9,340,41,,,,,-1
155,2017-01-13 05:00,-2,,2.2,290,38,,,,,-1.4
155,2017-01-13 06:00,-2.4,,1.1,250,41,,,,,-1.7
155,2017-01-13 07:00,-2.8,,1.5,230,42,,,,,-1.8
155,2017-01-13 08:00,-3.1,,.6,340,43,.2,.07,,,-2
155,2017-01-13 09:00,-.8,,1.1,90,40,1,.49,,,-.7
155,2017-01-13 10:00,1.1,,1.8,110,37,1,1.09,,,-.2
155,2017-01-13 11:00,2.5,,3.9,180,33,1,1.58,,,2.9
155,2017-01-13 12:00,4.3,,3.8,180,33,1,1.97,,,6.7
155,2017-01-13 13:00,5.6,,2.8,180,34,1,2.06,,,9.2
155,2017-01-13 14:00,5.2,,3.1,250,42,.8,1.59,,,8.9
155,2017-01-13 15:00,5.3,0,2.7,250,48,.7,.97,,,6.9
155,2017-01-13 16:00,4.7,,1.7,250,50,.3,.62,,,5.6
155,2017-01-13 17:00,3.9,,4.4,290,48,0,.2,,,3.2
155,2017-01-13 18:00,2.7,,3.2,320,46,0,.07,,,1.7
155,2017-01-13 19:00,1.4,,1.7,320,44,,,,,.9
155,2017-01-13 20:00,.2,,2.5,270,35,,,,,.4
155,2017-01-13 21:00,-.7,,1.7,270,35,,,,,-.1
155,2017-01-13 22:00,-1.3,,1.4,270,35,,,,,-.7
155,2017-01-13 23:00,-2.1,,.8,230,37,,,,,-1.3
155,2017-01-14 00:00,-2.3,,1,50,38,,,,,-1.8
155,2017-01-14 01:00,-2.7,,1.3,320,40,,,,,-2.1
155,2017-01-14 02:00,-2.9,,2,290,42,,,,,-2.4
155,2017-01-14 03:00,-2.8,,2,290,42,,,,,-2.4
155,2017-01-14 04:00,-3.2,,1.7,250,45,,,,,-2.6
155,2017-01-14 05:00,-3.2,,1.5,290,45,,,,,-2.5
155,2017-01-14 06:00,-4.2,,1.5,20,51,,,,,-2.6
155,2017-01-14 07:00,-4.8,,1.4,200,51,,,,,-2.9
155,2017-01-14 08:00,-4.2,,.6,180,44,.2,.08,,,-2.9
155,2017-01-14 09:00,-3.1,,3.6,290,38,1,.53,,,-1.4
155,2017-01-14 10:00,-2.2,,3,270,34,1,1.18,,,-.6
155,2017-01-14 11:00,-.3,,1.6,20,33,1,1.75,,,.1
155,2017-01-14 12:00,.3,,2.1,290,25,1,2.12,,,3.1
155,2017-01-14 13:00,.7,,4.1,290,22,1,2.26,,,5.6
155,2017-01-14 14:00,.5,,5.1,290,19,1,2.16,,,5.6
155,2017-01-14 15:00,1.2,,3.9,270,19,1,1.84,,,2.5
155,2017-01-14 16:00,.5,,4.1,290,17,1,1.31,,,1.5
155,2017-01-14 17:00,-.3,,3.7,270,17,.6,.5,,,.3
155,2017-01-14 18:00,-1.8,,2.6,200,11,0,.08,,,-.3
155,2017-01-14 19:00,-2.4,,2.3,70,16,,,,,-1.1
155,2017-01-14 20:00,-3.9,,1.7,180,19,,,,,-2.1
155,2017-01-14 21:00,-5,,2.6,160,23,,,,,-2.6
155,2017-01-14 22:00,-5.8,,2.2,230,28,,,,,-2.8
155,2017-01-14 23:00,-6.2,,2.3,250,33,,,,,-2.9
155,2017-01-15 00:00,-6.7,,2,340,40,,,,,-3
155,2017-01-15 01:00,-7.1,,2.4,110,37,,,,,-3.2
155,2017-01-15 02:00,-7.5,,2.4,230,34,,,,,-3.4
155,2017-01-15 03:00,-8,,2.2,180,34,,,,,-3.5
155,2017-01-15 04:00,-7.9,,1.8,180,32,,,,,-3.6
155,2017-01-15 05:00,-8.2,,1.7,140,33,,,,,-3.7
155,2017-01-15 06:00,-8.1,,2.4,360,34,,,,,-3.7
155,2017-01-15 07:00,-8.2,,2.6,360,38,,,,,-3.8
155,2017-01-15 08:00,-7.9,,2,360,35,.3,.08,,,-3.7
155,2017-01-15 09:00,-6.4,,2.4,250,29,1,.57,,,-2.1
155,2017-01-15 10:00,-4.3,,2.4,180,22,1,1.24,,,-.7
155,2017-01-15 11:00,-2.7,,3.6,70,24,1,1.8,,,-.3
155,2017-01-15 12:00,-1.3,,3,50,18,1,2.16,,,.7
155,2017-01-15 13:00,.2,,3.9,50,19,1,2.29,,,1.3
155,2017-01-15 14:00,1.6,,2.5,50,16,1,2.19,,,2
155,2017-01-15 15:00,3,,2.2,90,15,1,1.86,,,.2
155,2017-01-15 16:00,3.7,,2.1,50,13,1,1.31,,,.4
155,2017-01-15 17:00,2.6,,1.3,20,18,.7,.5,,,-.4
155,2017-01-15 18:00,.6,,.3,0,24,0,.07,,,-.7
155,2017-01-15 19:00,.2,,.6,270,26,,,,,-1.5
155,2017-01-15 20:00,.8,,.9,340,27,,,,,-2
155,2017-01-15 21:00,-.5,,.8,360,30,,,,,-2.3
155,2017-01-15 22:00,-.8,,1.5,320,26,,,,,-2.3
155,2017-01-15 23:00,-1.4,,2.6,20,27,,,,,-2.4
155,2017-01-16 00:00,-2.1,,2.4,20,32,,,,,-2.5
155,2017-01-16 01:00,-2.8,,2.5,290,32,,,,,-2.5
155,2017-01-16 02:00,-3,,1.7,250,34,,,,,-2.7
155,2017-01-16 03:00,-3.2,,2.2,290,37,,,,,-2.7
155,2017-01-16 04:00,-3.3,,2.5,340,39,,,,,-2.7
155,2017-01-16 05:00,-3.5,,2.2,360,43,,,,,-2.9
155,2017-01-16 06:00,-3.3,,2.6,360,43,,,,,-3
155,2017-01-16 07:00,-3.5,,3.2,360,43,,,,,-2.9
155,2017-01-16 08:00,-3.4,,1.6,320,39,.3,.08,,,-2.8
155,2017-01-16 09:00,-1.7,,2.6,20,31,1,.55,,,-1.4
155,2017-01-16 10:00,.4,,2.4,110,23,1,1.23,,,-.5
155,2017-01-16 11:00,.5,,4.5,50,28,1,1.78,,,.4
155,2017-01-16 12:00,2.5,,3,20,24,1,2.16,,,.9
155,2017-01-16 13:00,3.5,,2.8,20,24,1,2.27,,,1.8
155,2017-01-16 14:00,4.2,,2.2,50,22,1,2.15,,,3.4
155,2017-01-16 15:00,4.8,,1,20,22,1,1.82,,,2.2
155,2017-01-16 16:00,4.6,,2.2,20,21,1,1.28,,,1.7
155,2017-01-16 17:00,3.5,,.5,200,24,.7,.5,,,-.1
155,2017-01-16 18:00,2.5,,.5,320,26,0,.07,,,-.6
155,2017-01-16 19:00,2,,.8,340,29,,,,,-1.4
155,2017-01-16 20:00,.5,,.6,270,31,,,,,-2.3
155,2017-01-16 21:00,-.3,,.9,360,43,,,,,-2.6
155,2017-01-16 22:00,.2,,1.6,20,40,,,,,-2.9
155,2017-01-16 23:00,0,,1.9,360,43,,,,,-3
155,2017-01-17 00:00,-1.2,,.5,340,45,,,,,-3.5
155,2017-01-17 01:00,-1.4,,.2,0,44,,,,,-3.9
155,2017-01-17 02:00,-2.4,,.4,0,44,,,,,-3.9
155,2017-01-17 03:00,-2.6,,.6,360,47,,,,,-4
155,2017-01-17 04:00,-2.5,,.7,230,44,,,,,-3.9
155,2017-01-17 05:00,-2.6,,.6,90,45,,,,,-3.5
155,2017-01-17 06:00,-2.2,,2.4,360,39,,,,,-3.2
155,2017-01-17 07:00,-2.5,,1.2,340,47,,,,,-3.7
155,2017-01-17 08:00,-2.5,,1.8,360,45,.1,.09,,,-3.3
155,2017-01-17 09:00,-1.5,,1.6,20,43,1,.5,,,-1
155,2017-01-17 10:00,.2,,2.9,20,39,1,1.01,,,.1
155,2017-01-17 11:00,2.1,,1.9,20,33,1,1.49,,,1
155,2017-01-17 12:00,3.6,,2,20,32,1,1.73,,,2
