지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2017-01-01 01:00,2.5,,.8,20,77,,,,,.2
155,2017-01-01 02:00,1.3,,.5,230,83,,,,,.1
155,2017-01-01 03:00,1.3,,1,270,84,,,,,0
155,2017-01-01 04:00,1.3,,.7,320,83,,,,,-.2
155,2017-01-01 05:00,.2,,.7,70,85,,,,,-.3
155,2017-01-01 06:00,.5,,1,20,85,,,,,-.4
155,2017-01-01 07:00,.2,,.1,0,85,,,,,-.6
155,2017-01-01 08:00,.6,,1.2,360,86,0,.07,,,-.3
155,2017-01-01 09:00,2.3,,1.4,360,80,.8,.49,,,0
155,2017-01-01 10:00,3.9,,.7,340,67,1,.87,,,.4
155,2017-01-01 11:00,7,,.9,90,60,.9,1.39,,,6.3
155,2017-01-01 12:00,7.8,,3.5,50,54,1,2,,,9.1
155,2017-01-01 13:00,8.8,,3.3,50,50,1,2,,,10
155,2017-01-01 14:00,9.3,,2.3,50,47,1,1.87,,,10.5
155,2017-01-01 15:00,10.1,,1.4,70,43,1,1.49,,,8
155,2017-01-01 16:00,9.5,,1.5,160,51,1,.97,,,6.8
155,2017-01-01 17:00,8.1,,.7,250,54,.6,.35,,,4.9
155,2017-01-01 18:00,6.9,,.2,0,60,0,.05,,,3.1
155,2017-01-01 19:00,6.6,,.5,320,61,,,,,2.2
155,2017-01-01 20:00,5.2,,.5,320,67,,,,,1.5
155,2017-01-01 21:00,4.6,,0,0,71,,,,,1
155,2017-01-01 22:00,3.8,,.4,0,74,,,,,1
155,2017-01-01 23:00,3.9,,0,0,73,,,,,.9
155,2017-01-02 00:00,3.9,,.5,270,73,,,,,.8
155,2017-01-02 01:00,2.9,,.5,50,75,,,,,.6
155,2017-01-02 02:00,2.7,,0,0,78,,,,,.6
155,2017-01-02 03:00,3.4,,1.1,340,77,,,,,.8
155,2017-01-02 04:00,3.4,,.3,0,77,,,,,1.1
155,2017-01-02 05:00,3.6,,1.4,20,76,,,,,1.5
155,2017-01-02 06:00,4.2,,.8,270,71,,,,,1.9
155,2017-01-02 07:00,4,,1.9,360,72,,,,,1.7
155,2017-01-02 08:00,3.4,,.4,0,76,0,.06,,,1.1
155,2017-01-02 09:00,5,,.5,90,72,.8,.4,,,2.5
155,2017-01-02 10:00,7.3,,1,140,64,1,.96,,,6.2
155,2017-01-02 11:00,9.1,,1.1,90,56,1,1.49,,,9.7
155,2017-01-02 12:00,11.7,,1.9,20,51,1,1.84,,,12.1
155,2017-01-02 13:00,13.1,,2.4,50,47,1,1.96,,,13.4
155,2017-01-02 14:00,14.1,,1.2,140,42,1,1.83,,,13.6
155,2017-01-02 15:00,14.2,,1.5,290,44,1,1.41,,,10.5
155,2017-01-02 16:00,13.4,,1.9,320,46,.6,.76,,,9.2
155,2017-01-02 17:00,12.7,,1.3,290,49,.4,.31,,,7.9
155,2017-01-02 18:00,11.9,,2,290,50,0,.06,,,6.2
155,2017-01-02 19:00,10.6,,1.3,250,54,,,,,5.3
155,2017-01-02 20:00,9.1,,.4,0,58,,,,,4.1
155,2017-01-02 21:00,8.6,,.7,270,64,,,,,3.2
155,2017-01-02 22:00,8.1,,.7,200,62,,,,,2.9
155,2017-01-02 23:00,8.4,,1.3,270,53,,,,,2.4
155,2017-01-03 00:00,7.5,,.8,340,61,,,,,2
155,2017-01-03 01:00,6,,.3,0,66,,,,,1.4
155,2017-01-03 02:00,6.3,,1,20,64,,,,,1.2
155,2017-01-03 03:00,5.7,,2.1,360,68,,,,,1.3
155,2017-01-03 04:00,4.9,,1.6,20,71,,,,,1.3
155,2017-01-03 05:00,4.6,,1.2,360,71,,,,,1
155,2017-01-03 06:00,4.2,,3.1,50,69,,,,,1
155,2017-01-03 07:00,4.1,,1.7,340,66,,,,,.9
155,2017-01-03 08:00,3.8,,1.2,320,64,0,.06,,,.8
155,2017-01-03 09:00,4.5,,1.1,230,61,.9,.4,,,1.7
155,2017-01-03 10:00,6.5,,2,50,51,1,.97,,,5.4
155,2017-01-03 11:00,8.3,,1.5,20,35,1,1.56,,,9
155,2017-01-03 12:00,7.9,,3.3,50,36,1,1.95,,,9.8
155,2017-01-03 13:00,9,,2.5,50,34,1,2.05,,,11.1
155,2017-01-03 14:00,10.3,,2.2,50,30,1,1.89,,,11.6
155,2017-01-03 15:00,11.5,,1.8,50,28,1,1.57,,,8.5
155,2017-01-03 16:00,10.9,,.9,180,29,1,1.02,,,7.5
155,2017-01-03 17:00,9.3,,.9,270,35,.6,.36,,,5.3
155,2017-01-03 18:00,7.7,,.3,0,48,0,.06,,,3.6
155,2017-01-03 19:00,6.2,,.1,0,49,,,,,2.4
155,2017-01-03 20:00,5.5,,.6,230,53,,,,,1.7
155,2017-01-03 21:00,4.7,,.6,270,54,,,,,1.3
155,2017-01-03 22:00,3.9,,.4,0,60,,,,,1
155,2017-01-03 23:00,4,,.7,320,61,,,,,.9
155,2017-01-04 00:00,3.4,,.5,270,64,,,,,.7
155,2017-01-04 01:00,2.8,,.4,0,66,,,,,.6
155,2017-01-04 02:00,2.3,,0,0,66,,,,,.4
155,2017-01-04 03:00,2.4,,.7,320,64,,,,,.3
155,2017-01-04 04:00,2.4,,.5,290,56,,,,,.2
155,2017-01-04 05:00,2.9,,2.3,360,60,,,,,.1
155,2017-01-04 06:00,3,,1.2,270,52,,,,,.2
155,2017-01-04 07:00,4.9,,1.7,340,42,,,,,.3
155,2017-01-04 08:00,3.5,,2.7,360,52,0,.06,,,.4
155,2017-01-04 09:00,3.7,,.4,0,54,.1,.3,,,.5
155,2017-01-04 10:00,5.7,,1.6,50,48,.6,.71,,,2.4
155,2017-01-04 11:00,6.8,,2,50,49,.7,1,,,5.4
155,2017-01-04 12:00,8.7,,3.3,50,49,1,1.44,,,7.9
155,2017-01-04 13:00,10.3,,1.9,50,49,1,1.62,,,9.9
155,2017-01-04 14:00,10.3,,2.6,50,50,1,1.77,,,10
155,2017-01-04 15:00,9.8,,2.9,50,50,1,1.3,,,8
155,2017-01-04 16:00,10,,1.2,340,49,.6,.62,,,7.1
155,2017-01-04 17:00,9.7,,1.3,230,46,.5,.42,,,6.1
155,2017-01-04 18:00,9,,.6,20,47,0,.08,,,4.6
155,2017-01-04 19:00,8,,.6,320,52,,,,,3.3
155,2017-01-04 20:00,6.6,,.7,250,53,,,,,2.3
155,2017-01-04 21:00,5.9,,.5,290,61,,,,,1.6
155,2017-01-04 22:00,5.2,,0,0,67,,,,,1.1
155,2017-01-04 23:00,4.5,,1.3,360,66,,,,,1.2
155,2017-01-05 00:00,3.8,,1.3,360,73,,,,,.9
155,2017-01-05 01:00,3.5,,.4,0,73,,,,,.7
155,2017-01-05 02:00,3,,.8,360,75,,,,,.6
155,2017-01-05 03:00,3,,.7,340,73,,,,,.5
155,2017-01-05 04:00,3.2,,.7,340,69,,,,,.5
155,2017-01-05 05:00,2.8,,.5,230,69,,,,,.5
155,2017-01-05 06:00,2.6,,.8,230,71,,,,,.5
155,2017-01-05 07:00,3,,.8,360,67,,,,,.6
155,2017-01-05 08:00,3.7,,1.5,320,66,0,.08,,,.6
155,2017-01-05 09:00,4.9,,1.6,70,62,.7,.43,,,1.4
155,2017-01-05 10:00,6.9,,1.4,70,57,1,.98,,,5.5
155,2017-01-05 11:00,7.9,,2.3,50,55,1,1.34,,,8.4
155,2017-01-05 12:00,9.6,,2.3,20,58,1,1.57,,,10.4
155,2017-01-05 13:00,10.1,,2.5,20,58,.5,1.27,,,10.2
155,2017-01-05 14:00,9.7,,2.4,50,60,0,.72,,,9.2
155,2017-01-05 15:00,9.7,,3,50,63,0,.47,,,8.2
155,2017-01-05 16:00,9.3,,2.4,70,64,0,.25,,,7.4
155,2017-01-05 17:00,8.5,,2.7,70,66,0,.1,,,6.6
155,2017-01-05 18:00,8.1,,3.3,50,66,0,.05,,,6
155,2017-01-05 19:00,7.7,,3.4,50,66,,,,,5.7
155,2017-01-05 20:00,7.5,,3.9,50,66,,,,,5.4
155,2017-01-05 21:00,7.3,,3.4,20,67,,,,,5.3
155,2017-01-05 22:00,7.1,,2.5,50,67,,,,,5.1
155,2017-01-05 23:00,6.9,,1.5,70,69,,,,,5
155,2017-01-06 00:00,6.8,,1.9,20,68,,,,,5
155,2017-01-06 01:00,6.6,,2,20,68,,,,,4.7
155,2017-01-06 02:00,6.4,,1.4,50,67,,,,,4.5
155,2017-01-06 03:00,6.2,,1.7,50,68,,,,,4.1
155,2017-01-06 04:00,5.7,,1.2,340,69,,,,,3.7
155,2017-01-06 05:00,5.8,,1.7,50,68,,,,,3.6
155,2017-01-06 06:00,5.2,,.9,20,73,,,,,3.6
155,2017-01-06 07:00,5.3,,1.6,360,71,,,,,3.7
155,2017-01-06 08:00,4.5,,.6,200,73,0,.06,,,3
155,2017-01-06 09:00,6.3,,1.5,90,69,.9,.49,,,4.8
155,2017-01-06 10:00,7.6,,2.3,50,59,1,1.07,,,7.4
155,2017-01-06 11:00,8.5,,3,50,54,1,1.58,,,10
155,2017-01-06 12:00,9.2,,2.7,50,52,1,1.89,,,11.6
155,2017-01-06 13:00,9.8,,2.6,50,49,1,1.94,,,12.6
155,2017-01-06 14:00,9.9,,2.3,20,47,1,1.77,,,12.4
