지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2015-01-04 20:00,6.1,,.8,250,67,,,,,.3
155,2015-01-04 21:00,5.8,,.3,0,68,,,,,.5
155,2015-01-04 22:00,4.9,,1,,67,,,,,.3
155,2015-01-04 23:00,4.6,,1.2,290,67,,,,,.2
155,2015-01-05 00:00,3.8,,1.3,270,70,,,,,0
155,2015-01-05 01:00,2.6,,.8,270,78,,,,,-.2
155,2015-01-05 02:00,3.7,,1.7,320,68,,,,,-.3
155,2015-01-05 03:00,2.5,,1.2,320,75,,,,,-.5
155,2015-01-05 04:00,2.6,,3.6,360,75,,,,,-.5
155,2015-01-05 05:00,1.8,,2.4,360,78,,,,,-.9
155,2015-01-05 06:00,1.2,,.1,0,82,,,,,-1.1
155,2015-01-05 07:00,1.4,,1.5,360,80,,,,,-1.2
155,2015-01-05 08:00,1.5,,1.4,360,79,0,,,,-.9
155,2015-01-05 09:00,2.1,,.7,20,77,0,,,,-.1
155,2015-01-05 10:00,3.8,,1.1,20,72,.6,,,,.9
155,2015-01-05 11:00,5.7,,1.5,360,62,1,,,,8.4
155,2015-01-05 12:00,7.6,,1.7,20,54,.9,,,,11.3
155,2015-01-05 13:00,8.5,,1.6,360,47,.5,,,,11
155,2015-01-05 14:00,9.9,,1.4,360,47,.5,,,,11.5
155,2015-01-05 15:00,10.7,,.5,90,46,.4,,,,11.4
155,2015-01-05 16:00,10.9,,2.9,160,56,0,,,,9
155,2015-01-05 17:00,10.5,,1.9,200,58,0,,,,7.3
155,2015-01-05 18:00,9.5,,.3,0,62,0,,,,5.6
155,2015-01-05 19:00,9.1,,.6,270,64,,,,,5.3
155,2015-01-05 20:00,8.6,,1.1,290,66,,,,,5.5
155,2015-01-05 21:00,8,.1,.6,160,73,,,,,6
155,2015-01-05 22:00,7.8,,.8,270,82,,,,,6.1
155,2015-01-05 23:00,8.1,,1,320,82,,,,,6.4
155,2015-01-06 00:00,7.4,3.4,.2,0,89,,,,,6.5
155,2015-01-06 01:00,7.5,,.5,,90,,,,,6.6
155,2015-01-06 02:00,7.7,,.8,340,92,,,,,7
155,2015-01-06 03:00,7.6,12,1.8,290,91,,,,,6.7
155,2015-01-06 04:00,7.7,,.5,50,93,,,,,6.5
155,2015-01-06 05:00,7.5,,3,50,92,,,,,6.2
155,2015-01-06 06:00,8.4,0,2.4,110,85,,,,,6.2
155,2015-01-06 07:00,7.7,,3.5,20,82,,,,,5.3
155,2015-01-06 08:00,7.4,,3.2,50,78,0,,,,5.1
155,2015-01-06 09:00,7.5,,2.4,200,75,.8,,,,6
155,2015-01-06 10:00,7.8,,4.7,50,69,,,,,9.2
155,2015-01-06 11:00,7.7,,4.3,50,63,,,,,11.4
155,2015-01-06 12:00,9.2,,2.6,90,51,,,,,14.7
155,2015-01-06 13:00,8.9,,3.6,70,41,,,,,14.4
155,2015-01-06 14:00,8.8,,3.2,50,32,,,,,13.2
155,2015-01-06 15:00,8.6,,2.8,,27,,,,,12
155,2015-01-06 16:00,7.8,,3.7,50,26,,,,,5.5
155,2015-01-06 17:00,6.6,,1.8,180,24,.8,,,,2.6
155,2015-01-06 18:00,5.1,,2.6,270,21,0,,,,.3
155,2015-01-06 19:00,4,,2.8,270,19,,,,,.4
155,2015-01-06 20:00,3.2,,2.7,,22,,,,,.5
155,2015-01-06 21:00,2.7,,2.1,,21,,,,,.5
155,2015-01-06 22:00,2,,3,,22,,,,,.4
155,2015-01-06 23:00,1.2,,2.3,200,25,,,,,.4
155,2015-01-07 00:00,1,,2.6,250,24,,,,,.4
155,2015-01-07 01:00,.5,,1.8,290,24,,,,,.3
155,2015-01-07 02:00,.2,,2,200,26,,,,,.1
155,2015-01-07 03:00,-.3,,1.8,360,29,,,,,-.3
155,2015-01-07 04:00,-.9,,3.5,360,30,,,,,-1.3
155,2015-01-07 05:00,-1.4,,3,20,33,,,,,-2
155,2015-01-07 06:00,-1.7,,3.3,20,33,,,,,-3
155,2015-01-07 07:00,-1.9,,3.6,20,29,,,,,-3.8
155,2015-01-07 08:00,-2.2,,4.4,70,24,.3,,,,-4.6
155,2015-01-07 09:00,-1.7,,4,20,22,1,,,,-2.6
155,2015-01-07 10:00,-.3,,2.8,20,21,1,,,,-.6
155,2015-01-07 11:00,.9,,2.2,180,18,.7,,,,.2
155,2015-01-07 12:00,1.2,,4.3,50,20,1,,,,1.1
155,2015-01-07 13:00,1.8,,3.7,50,19,1,,,,4.9
155,2015-01-07 14:00,2.6,,4.1,50,21,1,,,,9.1
155,2015-01-07 15:00,2.5,,2.6,50,18,1,,,,6.1
155,2015-01-07 16:00,2.7,,1.5,360,17,.8,,,,3.3
155,2015-01-07 17:00,2.3,,1,270,21,.4,,,,.8
155,2015-01-07 18:00,1,,.8,290,24,0,,,,.4
155,2015-01-07 19:00,.8,,1.1,200,26,,,,,.4
155,2015-01-07 20:00,.2,,1,200,28,,,,,.3
155,2015-01-07 21:00,.5,,1.3,200,28,,,,,-.2
155,2015-01-07 22:00,-.3,,1.3,270,31,,,,,-2.4
155,2015-01-07 23:00,-.6,,1.1,290,33,,,,,-3.7
155,2015-01-08 00:00,-1,,1.4,290,35,,,,,-4.6
155,2015-01-08 01:00,-1.5,,2.1,180,39,,,,,-4.9
155,2015-01-08 02:00,-2,,3,50,42,,,,,-5
155,2015-01-08 03:00,-2.5,,3.4,20,45,,,,,-5.2
155,2015-01-08 04:00,-2.8,,3.6,360,44,,,,,-5.6
155,2015-01-08 05:00,-2.8,,3.9,340,46,,,,,-5.6
155,2015-01-08 06:00,-3.1,,2.5,340,43,,,,,-6.1
155,2015-01-08 07:00,-3.2,,2.6,340,43,,,,,-6.6
155,2015-01-08 08:00,-3.1,,1.3,290,41,.2,,,,-7.1
155,2015-01-08 09:00,-2.5,,3.1,360,40,1,,,,-3
155,2015-01-08 10:00,.1,,1.9,200,37,1,,,,-.3
