parking_ID,parking_name,parking_adr,parking_lat,parking_lng,parking_area,parking_pay,parking_time ,C,D,floating_people,land_grade,ppi,ppg,ppr
414-4-000158,초원 주차장,경상남도 창원시 의창구 읍성로 95-1,35.264513,128.628445,12,기본 30분 500원,8시~24시,0,2020,1354.898096,1,135.5473383,B,2
414-4-000154,소답종로 주차장,경상남도 창원시 의창구 읍성로34번길 10-1,35.264096,128.621969,18,기본 30분 500원,8시~24시,0,7289,2532.591429,1,110.3056874,C,3
414-4-000166,소답 주차장,경상남도 창원시 의창구 의안로18번길 29-1,35.262979,128.627071,6,기본 30분 500원,8시~24시,0,1776,1849.459404,1,135.7635279,B,2
414-4-000167,대성 주차장,경상남도 창원시 의창구 의안로18번길 7,35.263136,128.624665,10,기본 30분 500원,8시~24시,0,1420,1584.088334,1,137.4362399,B,2
414-4-000181,KTX창원역 제 2 주차장,경상남도 창원시 의창구 의창대로 51-11,35.255987,128.605291,42,기본 30분 500원,8시~24시,0,408,3795.997619,1,129.6320529,B,2
414-4-000157,창원역광장주차장,경상남도 창원시 의창구 의창대로 67,35.257935,128.606866,62,기본 30분 500원,8시~24시,0,1090,2741.279643,1,127.503861,B,2
414-4-000156,성원 주차장,경상남도 창원시 의창구 의창대로 914-1,35.268526,128.645391,8,기본 30분 500원,8시~24시,0,0,96.1695238,1,148.0792156,B,2
414-4-000168,경남주차장,경상남도 창원시 의창구 의창대로156번길 20,35.260159,128.614443,15,기본 30분 500원,8시~24시,0,1136,3470.044167,1,131.7271017,B,2
414-4-000174,뉴금호주차장,경상남도 창원시 의창구 의창대로289번길,35.263345,128.629613,74,기본 30분 500원,8시~24시,0,285,952.4675,1,134.7054182,B,2
414-4-000182,사계절 유료주차장,경상남도 창원시 의창구 지귀로24번길 21~22,35.244315,128.651869,18,기본 30분 500원,8시~24시,0,1595,2291.545714,1,133.314713,B,2
414-4-000165,종합 주차장,경상남도 창원시 의창구 창원대로 5,35.254972,128.606382,16,기본 30분 500원,8시~24시,0,2342,9535.349048,1,107.2610984,C,3
414-4-000180,창원문성대학 주차장,경상남도 창원시 의창구 창원천로94번길,35.237872,128.657382,513,기본 30분 500원,8시~24시,0,847,1589.347143,1,67.31523151,D,4
414-4-000178,언양각 식당 주차장,경상남도 창원시 의창구 창이대로492번길,35.236703,128.687285,7,기본 30분 500원,8시~24시,0,2045,3935.552262,1,127.8235376,B,2
414-4-000179,더원 주차장,경상남도 창원시 의창구 창이대로81번길 8,35.240037,128.647869,14,기본 30분 500원,8시~24시,0,207,6739.493334,1,124.9250483,B,2
414-4-000163,도계 주차장,경상남도 창원시 의창구 태복산로3번길,35.254045,128.637644,20,기본 30분 500원,8시~24시,0,543,6724.003929,1,122.8004698,B,2
414-4-000172,팔용종합상가 번영회 주차장,경상남도 창원시 의창구 팔용로 438,35.255297,128.613451,98,기본 30분 500원,8시~24시,1,15099,16161.49881,1,15.31147983,F,5
