"","parking_ID","parking_name","parking_adr","parking_lat","parking_lng","parking_pay","parking_time","C","D","floating_people","parking_area","remain","rpa","newdata.dansok_s","newdata.zone_s","newdata.pay_s","newdata.time_s","newdata.cctv_s","newdata.pop_s","score","ppg","ppr"
"150","415-2-000061","중앙동 88-5 임시 공영주차장","경상남도 창원시 성산구 용지로123번길",35.226672,128.679295,"무료","24시간",1,5299,9944.401312,7,NA,NA,-1.52083217073955,0.744820920227117,0.436733745542635,0.84927233756328,-0.565680911198937,-2.52454310454171,134.197708168528,"C",3
"151","415-2-000060","중앙동 82-1 임시 공영주차장","경상남도 창원시 성산구 원이대로580번길",35.225572,128.677587,"무료","24시간",1,5268,18026.3457157143,7,NA,NA,-1.50872968459323,0.744820920227117,0.436733745542635,0.84927233756328,-0.565680911198937,-5.13807479328002,108.183416142608,"D",4
"152","415-2-000059","중앙동 68  임시 공영주차장","경상남도 창원시 성산구 원이대로580번길",35.225351,128.677561,"무료","24시간",0,2816,17982.2580928571,10,NA,NA,-0.551462070696861,0.701675188378225,0.436733745542635,0.84927233756328,0.326837859803831,-5.12381777867283,126.392392819183,"C",3
"153","415-2-000058","중앙동 삼각지 공영주차장","경상남도 창원시 성산구 용지로107번길",35.225312,128.678179,"무료","24시간",0,2989,5547.04238128571,15,NA,NA,-0.619001751448929,0.629765635296739,0.436733745542635,0.84927233756328,0.326837859803831,-1.10252925019047,165.210785765671,"B",2
"154","415-2-000057","중앙동 66-1 임시공영주차장","경상남도 창원시 성산구 원이대로580번길",35.225369,128.67724,"무료","24시간",0,2100,17791.38167,18,NA,NA,-0.271933680994659,0.586619903447847,0.436733745542635,0.84927233756328,0.326837859803831,-5.06209233800525,128.654378273577,"C",3
"155","415-2-000056","중앙동 27-6 임시 공영주차장","경상남도 창원시 성산구 원이대로552번길",35.227129,128.674791,"무료","24시간",0,515,1177.22892857143,7,NA,NA,0.346854723583541,0.744820920227117,0.436733745542635,0.84927233756328,0.326837859803831,0.31057697302174,190.150965597421,"B",2
"156","415-2-000055","중앙동 16-4 임시 공영주차장","경상남도 창원시 성산구 외동반림로130번길",35.229025,128.674183,"무료","24시간",0,0,617.425714285714,12,NA,NA,0.547912154724091,0.67291136714563,0.436733745542635,0.84927233756328,0.326837859803831,0.49160561748023,193.252730822597,"B",2
"157","415-2-000054","중앙동 6-8 임시 공영주차장","경상남도 창원시 성산구 외동반림로142번길",35.229619,128.675426,"무료","24시간",0,4,7711.94380985714,12,0,0,0.546350543608437,0.67291136714563,0.436733745542635,0.84927233756328,0.326837859803831,-1.80261306714496,170.294927865189,"B",2
"158","415-2-000158","귀산동 505-1 공영주차장","경상남도 창원시 성산구 귀산동 505-1",35.163985,128.610927,"무료","24시간",0,0,22.0469047642857,40,NA,NA,0.547912154724091,0.270217869889305,0.436733745542635,0.84927233756328,0.326837859803831,0.684138664944949,191.151126324681,"B",2
"159","415-2-000157","웅남공단 공영주차장(2)","경상남도 창원시 성산구 신촌동 503-13",35.209567,128.6483,"무료","24시간",0,2,39.2167857128571,52,NA,NA,0.547131349166264,0.097634942493737,0.436733745542635,0.84927233756328,0.326837859803831,0.678586284761495,189.361965193312,"B",2
