,place1,Freq,,
322,옥상,8,,
323,요구,8,,
324,요망,8,,
325,유등,8,,
326,이중,8,,
327,자기,8,,
328,조심,8,,
329,주차하면,8,,
330,지상,8,,
331,질서,8,,
332,출입,8,,
333,하천,8,,
334,해안,8,,
335,Q마산역,7,,
336,갓길,7,,
337,개인,7,,
338,검토,7,,
339,경고,7,,
340,경남,7,,
341,고발,7,,
342,고속버스터미널,7,,
343,근절,7,,
344,김해,7,,
345,노면,7,,
346,노상주차장,7,,
347,문화,7,,
348,보건소,7,,
349,부족,7,,
350,브이텍,7,,
351,생활,7,,
352,세코에,7,,
353,소방도로,7,,
354,수거,7,,
355,신마,7,,
356,얌체,7,,
357,어디하시나요,7,,
358,여성,7,,
359,여유,7,,
360,영수증,7,,
361,우리집,7,,
362,위치,7,,
363,입주,7,,
364,제안,7,,
365,주위,7,,
366,주차편한,7,,
367,주차하다,7,,
368,주차할곳이,7,,
369,중동,7,,
370,징수,7,,
371,푸르지오,7,,
372,할인,7,,
373,해운,7,,
374,확장,7,,
375,Q감계,6,,
376,가는길,6,,
377,가로등,6,,
378,건널목,6,,
379,건립,6,,
380,건설,6,,
381,게시,6,,
382,광장,6,,
383,교육,6,,
384,교통과,6,,
385,구암동,6,,
386,근본적,6,,
387,기준,6,,
388,남포,6,,
389,노상,6,,
390,노점,6,,
391,누수,6,,
392,대구,6,,
393,대형화,6,,
394,뒷편,6,,
395,드립니,6,,
396,무료주차장,6,,
397,방문,6,,
398,방향,6,,
399,보행자,6,,
400,봉암수원지,6,,
401,비장,6,,
402,사진,6,,
403,상복,6,,
404,서부,6,,
405,설계,6,,
406,성원,6,,
407,스카이,6,,
408,시설물,6,,
409,신축,6,,
410,아름다운,6,,
411,안민동,6,,
412,안하,6,,
413,어디하세요,6,,
414,오피스텔,6,,
415,용추,6,,
416,우선주,6,,
417,원룸,6,,
418,월영동,6,,
419,위반차량,6,,
420,인구,6,,
421,일반,6,,
422,일방통행,6,,
423,임대만,6,,
424,입원,6,,
425,자산,6,,
426,저렴,6,,
427,정동,6,,
428,정우상가,6,,
429,주차어디하나요,6,,
430,주차하다가,6,,
431,주차할만한곳,6,,
432,주택가,6,,
433,주택지,6,,
434,직원,6,,
435,진주,6,,
436,진출,6,,
437,차주,6,,
438,참여,6,,
439,타이어,6,,
440,태복산로,6,,
441,택시,6,,
442,파트,6,,
443,파티,6,,
444,펜스,6,,
445,평지,6,,
446,하세,6,,
447,학교,6,,
448,해도,6,,
449,해서,6,,
450,현대,6,,
451,협회,6,,
452,형평성,6,,
453,cctv,5,,
454,kbs,5,,
455,Q김해,5,,
456,Q상남,5,,
457,가구,5,,
458,가음정로,5,,
459,계도,5,,
460,공개,5,,
461,공공,5,,
462,공사장,5,,
463,교실,5,,
464,구조물,5,,
465,국민,5,,
466,기회,5,,
467,남농협,5,,
468,남산동,5,,
469,노점상,5,,
470,다리,5,,
471,대로,5,,
472,대문,5,,
473,덕산차,5,,
474,동주,5,,
475,동지,5,,
476,리베라,5,,
477,마련,5,,
478,반사경,5,,
479,반송,5,,
480,밤새,5,,
481,버스터미널,5,,
482,벌금,5,,
483,벚꽃,5,,
484,병원옆,5,,
485,보쉬주차타워,5,,
486,봉곡,5,,
487,봉곡동,5,,
488,부분,5,,
489,사고위험,5,,
490,산복,5,,
491,삼정더파크,5,,
492,소방서,5,,
493,소형,5,,
494,수정,5,,
495,시외버스,5,,
496,신마산서울아동병원,5,,
497,신호등,5,,
498,실내,5,,
499,실태,5,,
500,안골,5,,
501,어딘가,5,,
502,여기,5,,
503,역앞,5,,
504,오토바이,5,,
505,오후,5,,
506,용도,5,,
507,용도변경,5,,
508,은행,5,,
509,잠시,5,,
510,장애,5,,
511,적치,5,,
512,전기,5,,
513,정차,5,,
514,제한,5,,
515,조례,5,,
516,종합터미널,5,,
517,주차는요,5,,
518,주차및,5,,
519,주차어디에,5,,
520,주차할데,5,,
521,주차할수있나요,5,,
522,지원,5,,
523,진해구청,5,,
524,차량통행,5,,
